@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2017/07/23 11:19:02:664',1,86.728645,792.856812,2687.902344,89.288582,582.900391,2672.526855,-61.936947,579.986328,2666.83252,-61.936779,297.70108,2666.83252,-61.930351,15.415894,2666.806641,240.514114,585.814453,2678.221191,240.513947,303.529205,2678.221191,240.514801,21.244019,2678.221191,94.063286,367.971436,2655.711426,-0.688352,151.124649,2635.148438,12.171181,-266.233215,2744.672852,0.792168,-602.059265,2659.133789,198.364334,154.960342,2642.643555,150.605881,-256.818542,2763.023682,170.421127,-611.406555,2696.601563,0,?
2,'2017/07/23 11:19:02:697',1,87.773201,794.826172,2688.184814,89.549713,584.78186,2673.421387,-61.729263,582.271057,2669.146484,-61.729095,299.985809,2669.146484,-61.723343,17.700623,2669.123047,240.82869,587.292664,2677.696289,240.828522,305.007416,2677.696289,240.829376,22.722229,2677.696289,93.577713,369.796936,2657.145508,-1.948854,153.159698,2638.056396,18.930079,-263.00528,2750.598389,7.590205,-597.307373,2661.191895,197.160278,156.464325,2643.682861,158.270325,-258.469727,2755.572021,176.419785,-606.325195,2696.786621,0,?
3,'2017/07/23 11:19:02:733',1,86.532822,792.676147,2687.825195,88.565659,583.105042,2673.443604,-62.729797,580.330383,2670.02002,-62.72963,298.045135,2670.02002,-62.724514,15.759949,2669.999023,239.861115,585.8797,2676.867188,239.860947,303.594452,2676.867188,239.861801,21.309265,2676.867188,92.867355,368.094269,2657.595215,-2.40297,151.257416,2639.493652,18.955111,-266.436829,2746.177979,7.972277,-604.461182,2659.593994,196.741074,154.909576,2644,157.139999,-260.718079,2753.429688,176.874069,-608.358276,2696.692627,0,?
4,'2017/07/23 11:19:02:764',1,85.741035,791.65625,2687.617432,88.333252,581.878052,2673.47583,-62.968021,580.157715,2669.664795,-62.967854,297.872467,2669.664795,-62.96331,15.58728,2669.645752,239.634521,583.598389,2677.286865,239.634354,301.313141,2677.286865,239.635208,19.027954,2677.286865,91.189835,366.882263,2657.116943,-5.535932,150.754181,2638.249756,15.764746,-266.556519,2746.618164,5.084114,-600.172974,2654.359619,193.628769,153.018768,2643.266357,156.08284,-262.916565,2752.463379,174.032257,-610.176208,2696.460938,0,?
5,'2017/07/23 11:19:02:795',1,83.925621,793.097046,2688.508057,87.015266,582.706909,2673.694336,-64.281502,580.618958,2669.910645,-64.281334,298.33371,2669.910645,-64.277298,16.048523,2669.893555,238.312042,584.794922,2677.478027,238.311874,302.509674,2677.478027,238.312729,20.224487,2677.478027,90.392914,367.724854,2657.266113,-5.811306,151.368484,2638.347412,18.523151,-264.229675,2752.408203,7.316217,-601.604614,2655.401611,193.352417,154.117081,2643.328369,160.34668,-262.686707,2750.677979,175.280762,-606.941833,2698.667969,0,?
6,'2017/07/23 11:19:02:832',1,83.418747,794.184448,2688.488037,86.046738,583.446228,2674.298584,-65.293335,582.575378,2672.145508,-65.293167,300.290131,2672.145508,-65.289566,18.004944,2672.130127,237.38681,584.317078,2676.45166,237.386642,302.03183,2676.45166,237.387497,19.746643,2676.45166,87.519958,368.45694,2657.696533,-10.62104,152.894424,2639.677246,13.529354,-263.842773,2749.61377,3.541393,-600.993042,2656.985596,188.607407,154.040848,2642.511719,152.829224,-261.260498,2754.657715,173.083267,-606.455078,2696.986328,0,?
7,'2017/07/23 11:19:02:864',1,84.263023,795.455688,2688.940918,86.912621,584.310059,2674.2854,-64.415779,582.354004,2672.066162,-64.415611,300.068756,2672.066162,-64.412445,17.783569,2672.052246,238.241013,586.266235,2676.504639,238.240845,303.980988,2676.504639,238.241699,21.695801,2676.504639,89.93042,369.313293,2658.003418,-6.651801,153.029053,2640.260742,21.950239,-263.815521,2748.730469,12.630934,-602.01416,2658.912598,192.548248,155.603943,2643.182129,161.121002,-260.138428,2755.043701,181.858475,-605.021423,2695.067139,0,?
8,'2017/07/23 11:19:02:900',1,84.653481,792.912231,2688.733643,88.018959,582.939148,2674.180908,-63.23457,578.966614,2670.249023,-63.234402,296.681366,2670.249023,-63.231609,14.396179,2670.236572,239.272476,586.911743,2678.112793,239.272308,304.626495,2678.112793,239.273163,22.341309,2678.112793,94.096764,368.038696,2657.49707,0.620594,150.523514,2638.225342,24.410984,-266.381409,2747.621094,15.624331,-604.477417,2656.140137,199.728546,155.752945,2643.401123,165.729355,-261.176453,2749.909424,185.147079,-606.525269,2694.93042,0,?
9,'2017/07/23 11:19:02:932',1,82.185493,791.655762,2688.090576,86.518852,581.554626,2673.695068,-64.690422,578.817566,2667.615479,-64.690254,296.532318,2667.615479,-64.687798,14.247131,2667.604248,237.728119,584.291687,2679.774658,237.727951,302.006439,2679.774658,237.728806,19.721252,2679.774658,91.08815,366.633789,2656.80542,-3.856535,149.911606,2635.914795,11.884001,-267.571655,2744.363281,4.185813,-602.006348,2654.767334,195.171448,153.514267,2643.916748,152.785492,-262.798401,2749.635498,173.938095,-607.976318,2695.363037,0,?
10,'2017/07/23 11:19:02:964',1,83.226448,798.204773,2688.244873,86.077415,587.780029,2674.365479,-65.234932,585.863586,2671.295654,-65.234764,303.578339,2671.295654,-65.232643,21.293152,2671.285645,237.389755,589.696411,2677.435303,237.389587,307.411163,2677.435303,237.390442,25.125977,2677.435303,89.126167,372.768982,2658.312744,-7.403625,156.496765,2640.239746,12.984059,-258.607635,2756.556885,3.779931,-595.000244,2660.880127,191.753464,159.019165,2644.280273,154.978226,-257.587708,2751.022217,175.820877,-599.754761,2694.310059,0,?
